x,y,z,label
0.231452,0.584857,0.787225,0
0.838557,0.165197,0.887234,1
0.623890,0.663228,0.290963,2
0.795770,0.120518,0.311838,3
0.080447,0.319987,0.653127,4
0.649068,0.064455,0.396161,5
0.202155,0.636708,0.476150,6
0.683889,0.778954,0.379833,7
0.089053,0.548723,0.746391,9
0.556902,0.221168,0.109470,9
0.032350,0.144993,0.809931,9
0.848201,0.242317,0.757714,1
0.262673,0.797632,0.858394,8
0.904294,0.432997,0.161443,3
0.848842,0.840693,0.768151,0
0.316172,0.064699,0.873043,0
0.340831,0.016175,0.636738,4
0.875729,0.595447,0.518021,7
0.250679,0.406751,0.860469,8
0.354289,0.708609,0.553362,0
0.964965,0.073000,0.096683,5
0.947508,0.354045,0.019684,2
0.182440,0.115146,0.954619,4
0.729606,0.759575,0.381695,0
0.471450,0.376812,0.758171,8
0.961608,0.881954,0.049684,2
0.039399,0.510453,0.225440,6
0.596423,0.266213,0.677114,3
0.309671,0.622669,0.407208,6
0.825190,0.781945,0.826716,0
0.398175,0.218390,0.729453,9
0.008179,0.204993,0.099979,4
0.084780,0.662862,0.482864,4
0.834620,0.114078,0.323008,2
0.372051,0.879482,0.603687,7
0.054109,0.070101,0.882748,0
0.225898,0.503189,0.088839,4
0.624836,0.547899,0.807428,1
0.591571,0.207495,0.890164,3
0.620838,0.588275,0.685018,7
0.278848,0.424024,0.630268,8
0.743431,0.639760,0.013123,2
0.809961,0.173376,0.985015,1
0.779260,0.558550,0.074374,3
0.824335,0.226295,0.075289,9
0.849971,0.235176,0.930906,1
0.133580,0.313425,0.712699,8
0.796167,0.817286,0.631703,0
0.020753,0.602710,0.842006,8
0.540147,0.996307,0.226814,2
0.877407,0.163152,0.025239,2
0.770959,0.327860,0.681600,5
0.772301,0.633747,0.309976,2
0.795099,0.053957,0.285379,3
0.045503,0.815882,0.326518,7
0.897488,0.395672,0.647938,3
0.521775,0.408826,0.957091,8
0.055452,0.785455,0.877499,8
0.436506,0.606128,0.421308,6
0.350566,0.007721,0.034272,9
0.668722,0.772362,0.121128,2
0.920804,0.716392,0.453261,7
0.374096,0.918485,0.089633,2
0.797967,0.297769,0.029420,9
0.612323,0.194891,0.386731,1
0.473556,0.548448,0.060183,6
0.062349,0.120884,0.286050,4
0.536760,0.135899,0.737785,1
0.419263,0.769097,0.596759,0
0.228553,0.311472,0.886044,8
0.566454,0.623615,0.963652,1
0.255470,0.843623,0.034852,6
0.116916,0.330973,0.489395,4
0.707083,0.640980,0.426679,7
0.417859,0.062410,0.523392,4
0.420454,0.033448,0.047761,4
0.611194,0.705954,0.959593,1
0.636036,0.180303,0.279305,2
0.845088,0.607532,0.888455,1
0.287759,0.573992,0.260720,4
0.229347,0.079775,0.945891,9
0.772271,0.108188,0.560228,5
0.628864,0.396954,0.203223,2
0.539811,0.679586,0.245369,7
0.888333,0.494949,0.942137,1
0.351726,0.790887,0.947935,0
0.582842,0.095279,0.157689,2
0.547197,0.125248,0.016419,5
0.887387,0.471511,0.134159,2
0.163793,0.559679,0.350871,4
0.659047,0.577136,0.936521,1
0.255287,0.586657,0.012055,9
0.326212,0.753319,0.161657,2
0.250313,0.613117,0.200751,7
0.678091,0.735801,0.793420,1
0.696005,0.104648,0.699332,1
0.147984,0.179022,0.504593,4
0.229957,0.044435,0.370220,3
0.685018,0.416852,0.250191,5
0.124546,0.675375,0.804743,6
0.807092,0.678274,0.495224,2
0.247383,0.993927,0.715934,6
0.929472,0.476760,0.921171,1
0.781152,0.964965,0.169591,2
0.562304,0.392682,0.954680,0
0.547472,0.926054,0.246529,7
0.471297,0.966430,0.962218,8
0.277627,0.149510,0.230628,4
0.394696,0.922117,0.454634,2
0.674551,0.032075,0.915647,3
0.411023,0.439772,0.145054,6
0.609363,0.879788,0.125309,2
0.550584,0.695486,0.204199,7
0.296609,0.757347,0.039735,6
0.745262,0.387402,0.556566,2
0.791772,0.371105,0.422407,5
0.709525,0.467208,0.561480,1
0.654500,0.453475,0.341227,5
0.847224,0.795190,0.922758,0
0.122135,0.618336,0.477462,7
0.777245,0.937986,0.170324,6
0.636189,0.155797,0.616352,9
0.572192,0.827723,0.558245,7
0.066378,0.735435,0.413160,8
0.303659,0.501053,0.722098,0
0.475875,0.485824,0.028169,5
0.987945,0.637165,0.940306,1
0.770745,0.420576,0.724937,3
0.525803,0.113285,0.342357,4
0.078433,0.678304,0.024567,8
0.730247,0.296640,0.908231,1
0.198340,0.545885,0.511307,4
0.035798,0.291208,0.602588,9
0.968383,0.733818,0.881161,1
0.983398,0.858821,0.487381,2
0.891201,0.872219,0.329447,2
0.073916,0.232154,0.156896,4
0.864223,0.696066,0.869259,1
0.085482,0.539689,0.338572,6
0.356670,0.889096,0.675649,0
0.446394,0.060305,0.003784,4
0.877682,0.054140,0.048891,2
0.759178,0.026978,0.832179,3
0.079318,0.779565,0.090701,6
0.068453,0.197851,0.372845,4
0.337870,0.269906,0.686819,8
0.966887,0.913816,0.747337,2
0.157598,0.509934,0.890469,8
0.132389,0.861049,0.236427,7
0.240516,0.430403,0.299356,6
