x, y, z, label 
0.231452,0.584857,0.787225,0
0.714286,0.838557,0.165197,1
0.456526,0.451674,0.623890,0
0.429579,0.670370,0.311777,3
0.311838,0.254067,0.339305,4
0.319987,0.653127,0.109500,5
0.649068,0.064455,0.396161,6
0.690207,0.202155,0.636708,2
0.460036,0.423872,0.683889,0
0.885250,0.045900,0.230018,4
0.746391,0.862453,0.570482,2
0.221168,0.109470,0.806604,4
0.032350,0.144993,0.809931,0
0.276315,0.848201,0.242317,1
0.461776,0.672994,0.262673,1
0.446333,0.570452,0.438002,6
0.161443,0.240608,0.084140,5
0.840693,0.768151,0.270333,1
0.316172,0.064699,0.873043,0
0.974670,0.340831,0.016175,6
0.797967,0.806635,0.875729,2
0.416761,0.486190,0.185553,4
0.860469,0.305368,0.337016,4
0.708609,0.553362,0.121769,3
0.964965,0.073000,0.096683,6
0.611560,0.947508,0.354045,3
0.876309,0.384564,0.182440,5
0.173528,0.855220,0.643849,0
0.381695,0.157872,0.065127,6
0.376812,0.758171,0.073122,1
0.961608,0.881954,0.049684,1
0.348735,0.039399,0.510453,5
0.112674,0.745354,0.596423,5
0.415509,0.091189,0.478805,4
0.407208,0.962523,0.830927,0
0.781945,0.826716,0.968169,2
0.398175,0.218390,0.729453,6
0.449416,0.008179,0.204993,4
0.770837,0.280068,0.084780,6
0.267953,0.954039,0.941343,0
0.323008,0.278268,0.993957,0
0.879482,0.603687,0.576037,2
0.054109,0.070101,0.882748,0
0.873470,0.225898,0.503189,2
0.479171,0.581164,0.624836,1
0.869900,0.877743,0.613697,3
0.890164,0.213324,0.743217,2
0.588275,0.685018,0.989074,2
0.278848,0.424024,0.630268,4
0.387280,0.743431,0.639760,4
0.646352,0.551317,0.809961,2
0.385144,0.558123,0.783685,0
0.074374,0.010163,0.119388,5
0.226295,0.075289,0.755699,4
0.849971,0.235176,0.930906,2
0.968902,0.133580,0.313425,6
0.740776,0.326548,0.796167,2
0.552507,0.205084,0.980529,2
0.842006,0.388867,0.793329,2
0.996307,0.226814,0.275063,6
0.877407,0.163152,0.025239,5
0.994537,0.770959,0.327860,1
0.065950,0.867977,0.772301,0
0.047731,0.389966,0.631916,0
0.285379,0.306711,0.376751,4
0.815882,0.326518,0.604266,2
0.897488,0.395672,0.647938,2
0.132420,0.521775,0.408826,0
0.876278,0.439100,0.055452,1
0.198401,0.615833,0.208808,5
0.421308,0.856777,0.848384,0
0.007721,0.034272,0.817438,0
0.668722,0.772362,0.121128,1
0.168096,0.920804,0.716392,0
0.061861,0.031251,0.374096,6
0.094272,0.232368,0.742454,0
0.029420,0.951048,0.906217,0
0.194891,0.386731,0.525285,6
0.473556,0.548448,0.060183,1
0.268227,0.062349,0.120884,4
0.814356,0.253548,0.536760,2
0.997436,0.733207,0.350414,1
0.596759,0.343181,0.333018,4
0.311472,0.886044,0.244758,3
0.566454,0.623615,0.963652,0
0.584246,0.255470,0.843623,2
0.286752,0.395337,0.116916,5
0.301492,0.436354,0.519028,6
0.426679,0.562731,0.409040,3
0.062410,0.523392,0.122074,5
0.420454,0.033448,0.047761,4
0.721702,0.611194,0.705954,1
0.913724,0.415754,0.636036,2
0.245155,0.683706,0.486190,1
0.888455,0.584399,0.649342,2
0.573992,0.260720,0.186804,5
0.229347,0.079775,0.945891,0
0.589465,0.772271,0.108188,1
0.377697,0.649831,0.628864,0
0.274331,0.625874,0.272713,5
0.245369,0.668416,0.310800,5
0.494949,0.942137,0.972716,0
0.351726,0.790887,0.947935,0
0.612903,0.582842,0.095279,3
0.828455,0.162297,0.547197,4
0.495529,0.014039,0.850490,6
0.134159,0.902341,0.825068,0
0.559679,0.350871,0.108615,6
0.659047,0.577136,0.936521,0
0.374645,0.255287,0.586657,5
0.502243,0.057405,0.326212,6
0.197424,0.818964,0.734184,0
0.200751,0.680685,0.199438,5
0.735801,0.793420,0.484603,3
0.696005,0.104648,0.699332,6
0.562548,0.147984,0.179022,6
0.976501,0.789666,0.229957,3
0.059206,0.570940,0.066775,6
0.250191,0.797845,0.109226,3
0.675375,0.804743,0.959563,1
0.807092,0.678274,0.495224,2
0.776299,0.247383,0.993927,2
0.554277,0.740471,0.929472,2
0.541398,0.683340,0.161290,1
0.169591,0.128788,0.508072,4
0.392682,0.954680,0.423353,5
0.547472,0.926054,0.246529,1
0.404279,0.471297,0.966430,0
0.330515,0.156560,0.277627,4
0.191565,0.312449,0.588519,5
0.454634,0.154942,0.733879,6
0.032075,0.915647,0.480026,0
0.411023,0.439772,0.145054,5
0.548296,0.609363,0.879788,2
0.969604,0.110019,0.550584,6
0.318033,0.145817,0.386517,5
0.039735,0.985412,0.910031,0
0.387402,0.556566,0.209082,1
0.791772,0.371105,0.422407,6
0.976928,0.709525,0.467208,1
0.750023,0.563189,0.654500,2
0.813715,0.519791,0.938749,2
0.922758,0.150700,0.560106,6
0.618336,0.477462,0.510788,4
0.777245,0.937986,0.170324,1
0.448317,0.636189,0.155797,1
0.628864,0.031220,0.572192,6
0.978423,0.073763,0.647237,2
0.413160,0.432478,0.396161,4
0.501053,0.722098,0.573840,5
0.475875,0.485824,0.028169,3
0.590777,0.987945,0.637165,1
0.572710,0.851131,0.770745,1
0.110385,0.378277,0.842280,0
0.342357,0.463240,0.828272,0
0.678304,0.024567,0.147252,6
0.730247,0.296640,0.908231,2
0.982238,0.198340,0.545885,2
0.817682,0.818873,0.035798,3
0.546648,0.247505,0.543290,6
0.881161,0.910398,0.502182,1
0.858821,0.487381,0.674367,2
0.891201,0.872219,0.329447,5
0.261391,0.073916,0.232154,4
0.684957,0.067843,0.864223,2
0.848933,0.396100,0.844325,2
0.338572,0.873012,0.729942,0
0.889096,0.675649,0.083895,3
0.446394,0.060305,0.003784,5
0.150609,0.877682,0.054140,3
0.711600,0.656575,0.759178,2
0.084506,0.342753,0.964904,0
0.090701,0.794244,0.655110,0
0.197851,0.372845,0.253609,6
0.337870,0.269906,0.686819,4
0.304544,0.966887,0.913816,0
0.789148,0.539445,0.157598,1
