x,y,z,label
0.231452,0.584857,0.787225,0
0.675222,0.177862,0.714286,2
0.838557,0.165197,0.887234,2
0.714255,0.456526,0.451674,3
0.623890,0.663228,0.290963,3
0.429579,0.670370,0.311777,0
0.795770,0.120518,0.311838,3
0.254067,0.339305,0.466445,1
0.080447,0.319987,0.653127,1
0.109500,0.040529,0.844417,1
0.649068,0.064455,0.396161,1
0.969573,0.137333,0.690207,2
0.202155,0.636708,0.476150,0
0.865932,0.460036,0.423872,3
0.683889,0.778954,0.379833,3
0.885250,0.045900,0.230018,3
0.089053,0.548723,0.746391,0
0.862453,0.570482,0.228278,3
0.556902,0.221168,0.109470,3
0.806604,0.113041,0.048555,3
0.032350,0.144993,0.809931,1
0.722282,0.017151,0.276315,3
0.848201,0.242317,0.757714,2
0.537522,0.461776,0.672994,2
0.262673,0.797632,0.858394,0
0.446333,0.570452,0.438002,0
0.904294,0.432997,0.161443,3
0.240608,0.084140,0.186926,1
0.848842,0.840693,0.768151,2
0.270333,0.428968,0.900296,1
0.316172,0.064699,0.873043,1
0.658773,0.051881,0.974670,2
0.340831,0.016175,0.636738,1
0.430372,0.797967,0.806635,0
0.875729,0.595447,0.518021,2
0.416761,0.486190,0.185553,3
0.250679,0.406751,0.860469,1
0.305368,0.337016,0.289010,1
0.354289,0.708609,0.553362,0
0.121769,0.131474,0.388623,1
0.964965,0.073000,0.096683,3
0.905271,0.570635,0.611560,2
0.947508,0.354045,0.019684,3
0.481368,0.876309,0.384564,0
0.182440,0.115146,0.954619,1
0.173528,0.855220,0.643849,0
0.729606,0.759575,0.381695,3
0.157872,0.065127,0.645253,1
0.471450,0.376812,0.758171,2
0.073122,0.996826,0.383343,0
0.961608,0.881954,0.049684,3
0.577899,0.945158,0.348735,0
0.039399,0.510453,0.225440,0
0.924223,0.112674,0.745354,2
0.596423,0.266213,0.677114,2
0.415509,0.091189,0.478805,1
0.309671,0.622669,0.407208,0
0.962523,0.830927,0.339122,3
0.825190,0.781945,0.826716,2
0.968169,0.153478,0.957579,2
0.398175,0.218390,0.729453,1
0.587390,0.421766,0.449416,3
0.008179,0.204993,0.099979,1
0.143803,0.770837,0.280068,0
0.084780,0.662862,0.482864,0
0.267953,0.954039,0.941343,0
0.834620,0.114078,0.323008,3
0.278268,0.993957,0.619861,0
0.372051,0.879482,0.603687,0
0.576037,0.071017,0.308329,1
0.054109,0.070101,0.882748,1
0.501206,0.062227,0.873470,1
0.225898,0.503189,0.088839,0
0.315073,0.479171,0.581164,1
0.624836,0.547899,0.807428,2
0.869900,0.877743,0.613697,2
0.591571,0.207495,0.890164,2
0.213324,0.743217,0.316965,0
0.620838,0.588275,0.685018,2
0.989074,0.020051,0.419446,3
0.278848,0.424024,0.630268,1
0.150304,0.481948,0.387280,1
0.743431,0.639760,0.013123,3
0.336192,0.646352,0.551317,0
0.809961,0.173376,0.985015,2
0.385144,0.558123,0.783685,0
0.779260,0.558550,0.074374,3
0.010163,0.119388,0.441908,1
0.824335,0.226295,0.075289,3
0.755699,0.355998,0.159398,3
0.849971,0.235176,0.930906,2
0.123020,0.708304,0.968902,0
0.133580,0.313425,0.712699,1
0.317209,0.740776,0.326548,0
0.796167,0.817286,0.631703,2
0.552507,0.205084,0.980529,2
0.020753,0.602710,0.842006,0
0.388867,0.793329,0.426771,0
0.540147,0.996307,0.226814,0
0.275063,0.800897,0.041353,0
0.877407,0.163152,0.025239,3
0.477676,0.914151,0.994537,0
0.770959,0.327860,0.681600,2
0.997620,0.065950,0.867977,2
0.772301,0.633747,0.309976,3
0.047731,0.389966,0.631916,1
0.795099,0.053957,0.285379,3
0.306711,0.376751,0.422285,1
0.045503,0.815882,0.326518,0
0.604266,0.017304,0.513321,1
0.897488,0.395672,0.647938,2
0.054323,0.634053,0.132420,0
0.521775,0.408826,0.957091,2
0.060488,0.876278,0.439100,0
0.055452,0.785455,0.877499,0
0.198401,0.615833,0.208808,0
0.436506,0.606128,0.421308,0
0.856777,0.848384,0.656697,2
0.350566,0.007721,0.034272,1
0.817438,0.808802,0.524888,2
0.668722,0.772362,0.121128,3
0.800317,0.972533,0.168096,3
0.920804,0.716392,0.453261,3
0.517563,0.061861,0.031251,3
0.374096,0.918485,0.089633,0
0.094272,0.232368,0.742454,1
0.797967,0.297769,0.029420,3
0.951048,0.906217,0.171361,3
0.612323,0.194891,0.386731,3
0.525285,0.869320,0.352519,0
0.473556,0.548448,0.060183,3
0.664754,0.884304,0.268227,3
0.062349,0.120884,0.286050,1
0.277566,0.814356,0.253548,0
0.536760,0.135899,0.737785,1
0.997436,0.733207,0.350414,3
0.419263,0.769097,0.596759,0
0.343181,0.333018,0.423688,1
0.228553,0.311472,0.886044,1
0.244758,0.764763,0.386303,0
0.566454,0.623615,0.963652,2
0.996460,0.477126,0.584246,2
0.255470,0.843623,0.034852,0
0.810480,0.286752,0.395337,3
0.116916,0.330973,0.489395,1
0.301492,0.436354,0.519028,1
0.707083,0.640980,0.426679,3
0.562731,0.409040,0.404920,3
0.417859,0.062410,0.523392,1
0.122074,0.384594,0.911069,1
0.420454,0.033448,0.047761,1
0.114261,0.078066,0.721702,1
0.611194,0.705954,0.959593,2
0.601947,0.913724,0.415754,0
0.636036,0.180303,0.279305,3
0.245155,0.683706,0.486190,0
0.845088,0.607532,0.888455,2
0.584399,0.649342,0.189032,3
0.287759,0.573992,0.260720,0
0.186804,0.081942,0.979400,1
0.229347,0.079775,0.945891,1
0.940611,0.141697,0.589465,2
0.772271,0.108188,0.560228,2
0.986114,0.377697,0.649831,2
0.628864,0.396954,0.203223,3
0.274331,0.625874,0.272713,0
0.539811,0.679586,0.245369,3
0.668416,0.310800,0.330332,3
0.888333,0.494949,0.942137,2
0.972716,0.744682,0.397687,3
0.351726,0.790887,0.947935,0
0.418134,0.589312,0.612903,0
0.582842,0.095279,0.157689,3
0.071261,0.828455,0.162297,0
0.547197,0.125248,0.016419,3
0.495529,0.014039,0.850490,1
0.887387,0.471511,0.134159,3
0.902341,0.825068,0.388501,3
0.163793,0.559679,0.350871,0
0.108615,0.737632,0.754662,0
0.659047,0.577136,0.936521,2
0.995300,0.474075,0.374645,3
0.255287,0.586657,0.012055,3
0.959166,0.502243,0.057405,3
0.326212,0.753319,0.161657,0
0.197424,0.818964,0.734184,0
0.250313,0.613117,0.200751,0
0.680685,0.199438,0.206519,3
0.678091,0.735801,0.793420,2
0.484603,0.650533,0.439497,0
0.696005,0.104648,0.699332,2
0.888485,0.596332,0.562548,2
0.147984,0.179022,0.504593,1
0.429548,0.976501,0.789666,0
0.229957,0.044435,0.370220,1
0.059206,0.570940,0.066775,0
0.685018,0.416852,0.250191,3
0.797845,0.109226,0.520524,2
0.124546,0.675375,0.804743,0
0.959563,0.701804,0.848506,2
0.807092,0.678274,0.495224,2
0.238746,0.467391,0.776299,1
0.247383,0.993927,0.715934,0
0.842280,0.554277,0.740471,2
0.929472,0.476760,0.921171,2
0.541398,0.683340,0.161290,3
0.781152,0.964965,0.169591,3
0.128788,0.508072,0.171422,0
0.562304,0.392682,0.954680,2
0.423353,0.111454,0.590289,1
0.547472,0.926054,0.246529,0
0.796808,0.469527,0.404279,3
0.471297,0.966430,0.962218,0
0.321818,0.330515,0.156560,1
0.277627,0.149510,0.230628,1
0.191565,0.312449,0.588519,1
0.394696,0.922117,0.454634,0
0.154942,0.733879,0.736412,0
0.674551,0.032075,0.915647,2
0.480026,0.391156,0.596301,1
0.411023,0.439772,0.145054,3
0.523118,0.801202,0.548296,0
0.609363,0.879788,0.125309,3
0.465957,0.969604,0.110019,0
0.550584,0.695486,0.204199,3
0.318033,0.145817,0.386517,1
0.296609,0.757347,0.039735,0
0.985412,0.910031,0.930937,2
0.745262,0.387402,0.556566,2
0.209082,0.931242,0.746696,0
0.791772,0.371105,0.422407,3
0.601032,0.465590,0.976928,2
0.709525,0.467208,0.561480,2
0.975097,0.750023,0.563189,2
0.654500,0.453475,0.341227,3
0.813715,0.519791,0.938749,2
0.847224,0.795190,0.922758,2
0.150700,0.560106,0.776299,0
0.122135,0.618336,0.477462,0
0.510788,0.117191,0.063051,3
0.777245,0.937986,0.170324,3
0.956114,0.770898,0.448317,3
0.636189,0.155797,0.616352,1
0.869167,0.628864,0.031220,3
0.572192,0.827723,0.558245,0
0.978423,0.073763,0.647237,2
0.066378,0.735435,0.413160,0
0.432478,0.396161,0.402570,1
0.303659,0.501053,0.722098,0
0.573840,0.110385,0.816706,2
0.475875,0.485824,0.028169,3
0.580554,0.197058,0.590777,1
0.987945,0.637165,0.940306,2
0.459487,0.572710,0.851131,2
0.770745,0.420576,0.724937,2
0.110385,0.378277,0.842280,1
0.525803,0.113285,0.342357,1
0.463240,0.828272,0.594562,0
0.078433,0.678304,0.024567,0
0.147252,0.997253,0.185369,0
0.730247,0.296640,0.908231,2
0.900479,0.664785,0.982238,2
0.198340,0.545885,0.511307,0
0.104343,0.817682,0.818873,0
0.035798,0.291208,0.602588,1
0.546648,0.247505,0.543290,1
0.968383,0.733818,0.881161,2
0.910398,0.502182,0.908628,2
0.983398,0.858821,0.487381,2
0.674367,0.883297,0.483657,0
0.891201,0.872219,0.329447,3
0.223273,0.846126,0.261391,0
0.073916,0.232154,0.156896,1
0.123386,0.684957,0.067843,0
0.864223,0.696066,0.869259,2
0.848933,0.396100,0.844325,2
0.085482,0.539689,0.338572,0
0.873012,0.729942,0.518265,2
0.356670,0.889096,0.675649,0
0.083895,0.297098,0.618549,1
0.446394,0.060305,0.003784,3
0.084689,0.806696,0.150609,0
0.877682,0.054140,0.048891,3
0.200690,0.711600,0.656575,0
0.759178,0.026978,0.832179,2
0.084506,0.342753,0.964904,1
0.079318,0.779565,0.090701,0
